cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,splitK,us,kernelName,err_ratio,tflops,bw
256,392,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.0195,hgemm_bf16_128x128x64_S2TN_BP,0.0,383.39,1218.72
256,400,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.5395,hgemm_bf16_128x64x64_S2TN_BP,0.0,278.57,1279.38
256,400,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.859,hgemm_bf16_128x128x64_S2TN_BP,0.0,393.32,1230.21
256,408,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.419,hgemm_bf16_128x64x64_S2TN_BP,0.0,287.43,1305.97
256,408,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.1195,hgemm_bf16_128x128x64_S2TN_BP,0.0,397.71,1224.47
256,416,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,21,128,32,256,1,1,8.3182,hgemm_bf16_32x256x128_S2TN_BP,0.0,209.76,965.13
256,416,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,10.099,hgemm_bf16_96x64x64_S2TN_BP,0.0,302.35,1359.52
256,416,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.799,hgemm_bf16_128x128x64_S2TN_BP,0.0,409.87,1242.59
256,424,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,26,128,64,128,1,1,7.8014,hgemm_bf16_64x128x128_S2TN_BP,0.0,227.96,1038.52
256,424,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,11.019,hgemm_bf16_96x64x64_S2TN_BP,0.0,282.44,1257.16
256,424,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.999,hgemm_bf16_128x128x64_S2TN_BP,0.0,414.97,1239.22
256,432,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.659,hgemm_bf16_128x64x64_S2TN_BP,0.0,297.49,1311.15
256,432,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.9195,hgemm_bf16_128x128x64_S2TN_BP,0.0,423.92,1247.44
256,440,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,13,64,128,64,1,1,10.859,hgemm_bf16_128x64x64_S2TN_BP,0.0,297.41,1298.32
256,440,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,30.0195,hgemm_bf16_128x128x64_S2TN_BP,0.0,430.34,1248.2
256,448,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,26,128,64,128,1,1,8.0201,hgemm_bf16_64x128x128_S2TN_BP,0.0,234.29,1037.78
256,448,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,10.699,hgemm_bf16_96x64x64_S2TN_BP,0.0,307.35,1329.22
256,448,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.5995,hgemm_bf16_128x128x64_S2TN_BP,0.0,444.38,1270.89
256,456,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,10.7195,hgemm_bf16_96x64x64_S2TN_BP,0.0,312.24,1338.14
256,456,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,14,64,128,128,1,1,29.839,hgemm_bf16_128x128x64_S2TN_BP,0.0,448.68,1265.63
